Demand,Stock,CompetitorPrice,Season,DayTime,CustomerRating,Discount,HistoricalSales,Distance_km,SurgeMultiplier,Price
187,135,286.31,Normal,Evening Peak,4.29,0.3,92,12.56,1.079,230.5
182,216,100.62,Exam,Morning Peak,4.78,0.0,169,3.42,1.0,85.48
100,100,96.09,Monsoon,Midday,4.55,0.0,84,2.65,1.0,99.91
357,146,325.07,Festival,Evening Peak,3.98,0.3,160,13.26,1.814,331.76
164,215,326.14,Normal,Midday,5.0,0.2,190,15.87,1.0,286.01
320,111,374.97,Normal,Evening Peak,3.69,0.0,143,16.78,2.114,548.35
77,113,427.22,Normal,Late Night,4.41,0.2,168,22.48,1.0,397.44
255,94,459.21,Wedding,Morning Peak,3.97,0.1,126,20.59,1.993,557.4
315,144,164.65,Festival,Evening Peak,3.71,0.2,105,4.38,1.635,195.16
187,174,436.94,Monsoon,Midday,3.85,0.1,153,20.07,1.0,388.94
146,266,355.14,Normal,Midday,4.28,0.1,171,17.23,1.0,329.37
197,227,416.95,Exam,Morning Peak,4.44,0.3,153,20.87,1.0,347.34
226,132,438.4,Monsoon,Morning Peak,4.72,0.3,112,21.24,1.305,384.58
113,256,189.91,Normal,Midday,4.89,0.1,112,9.29,1.0,198.6
99,223,150.01,Normal,Midday,4.41,0.3,97,7.32,1.0,145.79
94,96,298.82,Normal,Night,4.12,0.0,108,14.26,1.0,286.5
235,117,212.82,Normal,Evening Peak,4.72,0.0,131,8.17,1.509,266.22
64,94,188.45,Normal,Late Night,4.05,0.2,131,9.39,1.0,193.74
264,161,107.5,Normal,Evening Peak,3.66,0.1,133,2.66,1.256,132.68
120,225,469.36,Normal,Midday,4.68,0.2,143,24.79,1.0,421.17
170,118,204.44,Festival,Midday,4.83,0.1,115,8.42,1.116,206.48
128,248,402.37,Normal,Midday,3.97,0.1,138,19.72,1.0,371.11
150,239,466.46,Normal,Midday,5.0,0.2,175,24.84,1.0,404.37
226,204,496.78,Normal,Evening Peak,4.53,0.2,108,24.26,1.0,406.96
136,269,330.36,Normal,Midday,4.47,0.2,117,16.21,1.0,288.19
175,170,316.5,Monsoon,Midday,4.09,0.2,139,13.93,1.0,262.85
187,179,224.55,Normal,Morning Peak,4.71,0.0,141,8.42,1.0,205.24
180,219,461.27,Normal,Morning Peak,3.69,0.1,126,21.68,1.0,411.34
327,108,247.02,Festival,Morning Peak,4.16,0.3,153,9.11,2.213,327.19
162,134,122.67,Normal,Morning Peak,4.01,0.1,105,3.56,1.0,107.49
